id,name,subscian,subscian_desc,strata,lat,lng,weight,rooms_prior,rooms_manual,rooms_source,rooms_final,suspicious
denue/9317023,HOTEL ZOMAY,721111,Hotel con servicios integrados,6 a 10 personas,21.52226589,-87.38203732,10.4,14,14,official,14,
denue/7878469,POSADA HOWDUMAR,721190,"Cabañas, villas y similares",0 a 5 personas,21.52381063,-87.37629106,2.4,3,14,booking,14,
denue/6796800,SPIRIT HOLBOX,721111,Hotel con servicios integrados,11 a 30 personas,21.52440346,-87.37995151,26.0,34,14,official,14,
denue/9869053,HOTEL AKVAL HOLBOX,721112,Hotel sin servicios integrados,0 a 5 personas,21.52439913,-87.37879409,3.0,4,13,booking,13,
denue/8132485,HOTEL KAI BOUTIQUE,721112,Hotel sin servicios integrados,0 a 5 personas,21.52185851,-87.3780864,3.0,4,13,tripadvisor,13,
denue/10249717,MHTOZ HOTEL,721112,Hotel sin servicios integrados,0 a 5 personas,21.5244156,-87.37993997,3.0,4,13,official,13,
denue/10998850,MITTOZ HOTEL,721112,Hotel sin servicios integrados,0 a 5 personas,21.52420958,-87.3800186,3.0,4,13,official,13,
denue/9418322,ALCOBAS DEL MAR,721112,Hotel sin servicios integrados,6 a 10 personas,21.52010968,-87.37967614,8.0,10,12,booking,12,
denue/9498301,HOTEL CASA MUUCH,721112,Hotel sin servicios integrados,0 a 5 personas,21.51789525,-87.38907997,3.0,4,12,official,12,
denue/10644586,HOTEL KIN STUDIOS HOLBOX,721112,Hotel sin servicios integrados,0 a 5 personas,21.5152645,-87.38942679,3.0,4,12,booking,12,
denue/7878575,HOTEL MAYAN MITTOZ,721112,Hotel sin servicios integrados,0 a 5 personas,21.52028486,-87.37481513,3.0,4,12,booking,12,
denue/9332130,HOTEL PUNTA CALIZA,721111,Hotel con servicios integrados,11 a 30 personas,21.5265637,-87.37382571,26.0,34,12,official,12,
denue/10995904,HOTEL SIESTA HOLBOX,721112,Hotel sin servicios integrados,6 a 10 personas,21.52278208,-87.38022488,8.0,10,12,booking,12,
denue/11178905,HOTEL VILLA MARILU,721112,Hotel sin servicios integrados,0 a 5 personas,21.52134874,-87.38057058,3.0,4,12,tripadvisor,12,
denue/11162531,APARTMENTS HOTEL ONDA MAYA,721112,Hotel sin servicios integrados,6 a 10 personas,21.52152945,-87.38057262,8.0,10,11,official,11,
